client_sk,client_id,valid_from,valid_to,is_current,legal_name,registration_no,onboarding_date,years_in_business,employees_band,turnover_band,segment,kyc_status,relationship_manager_id,geography_sk,industry_sk
5008,C005008,3/1/2023,8/2/2025,True,Client 5008 (Pty) Ltd,REG0005008,04/03/2015,24,51-100,< R5m,Corporate,Verified,RM088,23,3
5009,C005009,3/1/2023,8/2/2025,True,Client 5009 (Pty) Ltd,REG0005009,10/13/2021,12,51-100,R5m-R20m,Small,Verified,RM022,2,2
5010,C005010,3/1/2023,8/2/2025,True,Client 5010 (Pty) Ltd,REG0005010,10/15/2016,9,251-500,R5m-R20m,Medium,Verified,RM079,10,10
5011,C005011,3/1/2023,8/2/2025,True,Client 5011 (Pty) Ltd,REG0005011,03/09/2016,1,21-50,R20m-R100m,Small,Verified,RM091,37,4
5012,C005012,3/1/2023,8/2/2025,True,Client 5012 (Pty) Ltd,REG0005012,02/09/2018,4,21-50,R5m-R20m,Micro,In Review,RM004,24,8
5013,C005013,3/1/2023,8/2/2025,True,Client 5013 (Pty) Ltd,REG0005013,01/10/2016,2,1-20,R5m-R20m,Micro,In Review,RM025,48,5
5014,C005014,3/1/2023,8/2/2025,True,Client 5014 (Pty) Ltd,REG0005014,12/02/2017,2,1-20,R5m-R20m,Small,In Review,RM037,11,1
5015,C005015,3/1/2023,8/2/2025,True,Client 5015 (Pty) Ltd,REG0005015,07/26/2015,17,101-250,R20m-R100m,Micro,In Review,RM008,28,5
5016,C005016,3/1/2023,8/2/2025,True,Client 5016 (Pty) Ltd,REG0005016,02/18/2017,21,1-20,R20m-R100m,Small,Verified,RM054,9,10
5017,C005017,3/1/2023,8/2/2025,True,Client 5017 (Pty) Ltd,REG0005017,08/12/2018,2,21-50,< R5m,Small,Pending,RM022,50,1
5018,C005018,3/1/2023,8/2/2025,True,Client 5018 (Pty) Ltd,REG0005018,02/15/2018,4,21-50,R5m-R20m,Small,Verified,RM067,13,8
5019,C005019,3/1/2023,8/2/2025,True,Client 5019 (Pty) Ltd,REG0005019,06/15/2016,25,51-100,R100m-R500m,Small,Verified,RM042,38,9
5020,C005020,3/1/2023,8/2/2025,True,Client 5020 (Pty) Ltd,REG0005020,01/22/2021,11,1-20,R20m-R100m,Micro,Pending,RM057,28,10
5021,C005021,3/1/2023,8/2/2025,True,Client 5021 (Pty) Ltd,REG0005021,05/14/2022,19,101-250,< R5m,Small,Verified,RM008,35,7
5022,C005022,3/1/2023,8/2/2025,True,Client 5022 (Pty) Ltd,REG0005022,03/31/2015,24,1-20,R5m-R20m,Small,Verified,RM008,37,7
5023,C005023,3/1/2023,8/2/2025,True,Client 5023 (Pty) Ltd,REG0005023,01/22/2018,26,101-250,< R5m,Small,Pending,RM024,38,9
5024,C005024,3/1/2023,8/2/2025,True,Client 5024 (Pty) Ltd,REG0005024,01/13/2015,13,101-250,< R5m,Small,Verified,RM063,21,9
5025,C005025,3/1/2023,8/2/2025,True,Client 5025 (Pty) Ltd,REG0005025,02/01/2020,22,1-20,< R5m,Medium,Verified,RM087,5,6
5026,C005026,3/1/2023,8/2/2025,True,Client 5026 (Pty) Ltd,REG0005026,03/15/2017,26,101-250,R500m+,Small,Verified,RM078,40,4
5027,C005027,3/1/2023,8/2/2025,True,Client 5027 (Pty) Ltd,REG0005027,08/02/2017,21,51-100,R5m-R20m,Micro,Verified,RM070,20,5
5028,C005028,3/1/2023,8/2/2025,True,Client 5028 (Pty) Ltd,REG0005028,08/21/2022,18,251-500,R500m+,Small,Verified,RM021,41,2
5029,C005029,3/1/2023,8/2/2025,True,Client 5029 (Pty) Ltd,REG0005029,02/01/2020,27,21-50,R20m-R100m,Small,Verified,RM050,37,4
5030,C005030,3/1/2023,8/2/2025,True,Client 5030 (Pty) Ltd,REG0005030,05/30/2019,29,1-20,R100m-R500m,Small,Verified,RM084,12,5
5031,C005031,3/1/2023,8/2/2025,True,Client 5031 (Pty) Ltd,REG0005031,01/02/2023,19,251-500,R5m-R20m,Micro,Verified,RM062,2,5
5032,C005032,3/1/2023,8/2/2025,True,Client 5032 (Pty) Ltd,REG0005032,05/13/2020,24,101-250,< R5m,Micro,Verified,RM065,3,5
5033,C005033,3/1/2023,8/2/2025,True,Client 5033 (Pty) Ltd,REG0005033,05/31/2022,15,1-20,R5m-R20m,Small,Verified,RM075,28,4
5034,C005034,3/1/2023,8/2/2025,True,Client 5034 (Pty) Ltd,REG0005034,11/18/2017,28,501-1000,< R5m,Micro,Verified,RM030,19,5
5035,C005035,3/1/2023,8/2/2025,True,Client 5035 (Pty) Ltd,REG0005035,10/23/2015,12,501-1000,R5m-R20m,Medium,Verified,RM100,18,7
5036,C005036,3/1/2023,8/2/2025,True,Client 5036 (Pty) Ltd,REG0005036,07/14/2017,25,21-50,R100m-R500m,Corporate,Verified,RM010,29,6
5037,C005037,3/1/2023,8/2/2025,True,Client 5037 (Pty) Ltd,REG0005037,10/01/2016,11,1-20,R20m-R100m,Medium,Verified,RM082,5,2
5038,C005038,3/1/2023,8/2/2025,True,Client 5038 (Pty) Ltd,REG0005038,07/15/2021,27,21-50,< R5m,Micro,Verified,RM075,25,2
5039,C005039,3/1/2023,8/2/2025,True,Client 5039 (Pty) Ltd,REG0005039,09/19/2016,23,251-500,< R5m,Medium,In Review,RM008,50,7
5040,C005040,3/1/2023,8/2/2025,True,Client 5040 (Pty) Ltd,REG0005040,10/22/2021,1,1-20,R20m-R100m,Micro,Verified,RM005,3,3
5041,C005041,3/1/2023,8/2/2025,True,Client 5041 (Pty) Ltd,REG0005041,03/13/2018,16,21-50,< R5m,Micro,In Review,RM045,5,10
5042,C005042,3/1/2023,8/2/2025,True,Client 5042 (Pty) Ltd,REG0005042,07/30/2017,28,51-100,R500m+,Medium,Verified,RM059,8,4
5043,C005043,3/1/2023,8/2/2025,True,Client 5043 (Pty) Ltd,REG0005043,04/09/2017,28,1-20,< R5m,Micro,In Review,RM065,3,6
5044,C005044,3/1/2023,8/2/2025,True,Client 5044 (Pty) Ltd,REG0005044,11/06/2019,13,21-50,R100m-R500m,Micro,Verified,RM017,22,5
5045,C005045,3/1/2023,8/2/2025,True,Client 5045 (Pty) Ltd,REG0005045,01/10/2022,29,1-20,R20m-R100m,Medium,Verified,RM020,19,4
5046,C005046,3/1/2023,8/2/2025,True,Client 5046 (Pty) Ltd,REG0005046,09/02/2017,6,21-50,R5m-R20m,Enterprise,Verified,RM043,43,4
5047,C005047,3/1/2023,8/2/2025,True,Client 5047 (Pty) Ltd,REG0005047,08/12/2017,23,21-50,< R5m,Small,In Review,RM032,49,6
5048,C005048,3/1/2023,8/2/2025,True,Client 5048 (Pty) Ltd,REG0005048,06/16/2018,28,1-20,< R5m,Small,In Review,RM051,43,5
5049,C005049,3/1/2023,8/2/2025,True,Client 5049 (Pty) Ltd,REG0005049,08/09/2017,6,251-500,R5m-R20m,Small,In Review,RM018,20,8
5050,C005050,3/1/2023,8/2/2025,True,Client 5050 (Pty) Ltd,REG0005050,08/01/2017,10,21-50,< R5m,Micro,Verified,RM021,20,9
5051,C005051,3/1/2023,8/2/2025,True,Client 5051 (Pty) Ltd,REG0005051,01/11/2021,27,51-100,R20m-R100m,Micro,Verified,RM053,21,3
5052,C005052,3/1/2023,8/2/2025,True,Client 5052 (Pty) Ltd,REG0005052,04/19/2018,29,101-250,< R5m,Small,In Review,RM081,44,9
5053,C005053,3/1/2023,8/2/2025,True,Client 5053 (Pty) Ltd,REG0005053,11/05/2020,2,1-20,R5m-R20m,Medium,Rejected,RM076,28,4
5054,C005054,3/1/2023,8/2/2025,True,Client 5054 (Pty) Ltd,REG0005054,03/15/2019,29,1-20,< R5m,Corporate,Verified,RM068,19,5
5055,C005055,3/1/2023,8/2/2025,True,Client 5055 (Pty) Ltd,REG0005055,01/01/2018,25,1-20,R100m-R500m,Small,Verified,RM090,39,7
5056,C005056,3/1/2023,8/2/2025,True,Client 5056 (Pty) Ltd,REG0005056,02/26/2023,3,1-20,R20m-R100m,Corporate,Verified,RM079,22,3
5057,C005057,3/1/2023,8/2/2025,True,Client 5057 (Pty) Ltd,REG0005057,06/28/2015,6,101-250,R5m-R20m,Small,Rejected,RM079,1,4
5058,C005058,3/1/2023,8/2/2025,True,Client 5058 (Pty) Ltd,REG0005058,03/09/2021,16,101-250,R20m-R100m,Medium,Verified,RM054,26,8
5059,C005059,3/1/2023,8/2/2025,True,Client 5059 (Pty) Ltd,REG0005059,01/03/2020,6,251-500,R5m-R20m,Small,Verified,RM006,12,1
5060,C005060,3/1/2023,8/2/2025,True,Client 5060 (Pty) Ltd,REG0005060,06/11/2018,24,101-250,R5m-R20m,Micro,Pending,RM089,21,1
5061,C005061,3/1/2023,8/2/2025,True,Client 5061 (Pty) Ltd,REG0005061,04/09/2016,13,1-20,R500m+,Medium,Verified,RM069,6,9
5062,C005062,3/1/2023,8/2/2025,True,Client 5062 (Pty) Ltd,REG0005062,11/10/2019,4,21-50,R5m-R20m,Corporate,Verified,RM085,45,3
5063,C005063,3/1/2023,8/2/2025,True,Client 5063 (Pty) Ltd,REG0005063,05/02/2022,15,1-20,R100m-R500m,Medium,Verified,RM002,2,9
5064,C005064,3/1/2023,8/2/2025,True,Client 5064 (Pty) Ltd,REG0005064,11/12/2022,6,1-20,< R5m,Small,Pending,RM002,42,4
5065,C005065,3/1/2023,8/2/2025,True,Client 5065 (Pty) Ltd,REG0005065,05/15/2018,1,21-50,R500m+,Corporate,Verified,RM081,30,3
5066,C005066,3/1/2023,8/2/2025,True,Client 5066 (Pty) Ltd,REG0005066,04/08/2022,9,21-50,R5m-R20m,Small,Verified,RM039,5,1
5067,C005067,3/1/2023,8/2/2025,True,Client 5067 (Pty) Ltd,REG0005067,06/03/2017,12,21-50,R100m-R500m,Micro,Verified,RM091,39,5
5068,C005068,3/1/2023,8/2/2025,True,Client 5068 (Pty) Ltd,REG0005068,08/10/2021,25,1-20,< R5m,Corporate,In Review,RM077,33,9
5069,C005069,3/1/2023,8/2/2025,True,Client 5069 (Pty) Ltd,REG0005069,05/12/2021,23,21-50,R5m-R20m,Small,Verified,RM092,37,1
5070,C005070,3/1/2023,8/2/2025,True,Client 5070 (Pty) Ltd,REG0005070,08/24/2021,11,1-20,R500m+,Micro,Verified,RM055,8,7
5071,C005071,3/1/2023,8/2/2025,True,Client 5071 (Pty) Ltd,REG0005071,08/25/2018,13,21-50,< R5m,Micro,Verified,RM027,40,6
5072,C005072,3/1/2023,8/2/2025,True,Client 5072 (Pty) Ltd,REG0005072,07/13/2019,1,21-50,R100m-R500m,Micro,Pending,RM028,44,1
5073,C005073,3/1/2023,8/2/2025,True,Client 5073 (Pty) Ltd,REG0005073,08/02/2017,19,1-20,< R5m,Micro,Verified,RM006,35,3
5074,C005074,3/1/2023,8/2/2025,True,Client 5074 (Pty) Ltd,REG0005074,10/28/2022,28,1-20,R500m+,Micro,Verified,RM062,36,2
5075,C005075,3/1/2023,8/2/2025,True,Client 5075 (Pty) Ltd,REG0005075,07/13/2017,21,1-20,< R5m,Micro,Verified,RM008,21,10
5076,C005076,3/1/2023,8/2/2025,True,Client 5076 (Pty) Ltd,REG0005076,04/22/2020,4,1-20,R20m-R100m,Micro,Verified,RM056,28,6
5077,C005077,3/1/2023,8/2/2025,True,Client 5077 (Pty) Ltd,REG0005077,05/08/2016,5,1-20,< R5m,Micro,Verified,RM023,8,10
5078,C005078,3/1/2023,8/2/2025,True,Client 5078 (Pty) Ltd,REG0005078,03/27/2019,23,251-500,< R5m,Small,Verified,RM051,32,1
5079,C005079,3/1/2023,8/2/2025,True,Client 5079 (Pty) Ltd,REG0005079,05/23/2020,25,1-20,R5m-R20m,Small,Verified,RM015,2,1
5080,C005080,3/1/2023,8/2/2025,True,Client 5080 (Pty) Ltd,REG0005080,12/30/2017,17,501-1000,< R5m,Micro,Verified,RM067,9,2
5081,C005081,3/1/2023,8/2/2025,True,Client 5081 (Pty) Ltd,REG0005081,08/08/2021,5,21-50,R20m-R100m,Medium,Verified,RM037,34,8
5082,C005082,3/1/2023,8/2/2025,True,Client 5082 (Pty) Ltd,REG0005082,03/02/2022,19,21-50,R5m-R20m,Small,Verified,RM001,9,1
5083,C005083,3/1/2023,8/2/2025,True,Client 5083 (Pty) Ltd,REG0005083,12/31/2019,3,101-250,R500m+,Micro,Verified,RM093,9,2
5084,C005084,3/1/2023,8/2/2025,True,Client 5084 (Pty) Ltd,REG0005084,02/01/2017,11,51-100,R5m-R20m,Micro,Verified,RM041,27,1
5085,C005085,3/1/2023,8/2/2025,True,Client 5085 (Pty) Ltd,REG0005085,05/12/2021,2,1-20,R20m-R100m,Micro,Verified,RM099,37,1
5086,C005086,3/1/2023,8/2/2025,True,Client 5086 (Pty) Ltd,REG0005086,02/19/2015,22,1-20,< R5m,Micro,Verified,RM017,20,3
5087,C005087,3/1/2023,8/2/2025,True,Client 5087 (Pty) Ltd,REG0005087,08/07/2022,14,101-250,< R5m,Small,Verified,RM006,12,4
5088,C005088,3/1/2023,8/2/2025,True,Client 5088 (Pty) Ltd,REG0005088,06/24/2017,6,1-20,R5m-R20m,Micro,Verified,RM050,45,10
5089,C005089,3/1/2023,8/2/2025,True,Client 5089 (Pty) Ltd,REG0005089,02/23/2023,19,21-50,R500m+,Micro,Verified,RM096,2,3
5090,C005090,3/1/2023,8/2/2025,True,Client 5090 (Pty) Ltd,REG0005090,07/17/2016,1,501-1000,< R5m,Micro,Verified,RM077,11,10
5091,C005091,3/1/2023,8/2/2025,True,Client 5091 (Pty) Ltd,REG0005091,02/21/2017,7,21-50,< R5m,Micro,Verified,RM069,45,7
5092,C005092,3/1/2023,8/2/2025,True,Client 5092 (Pty) Ltd,REG0005092,12/07/2021,2,1-20,< R5m,Micro,Verified,RM003,4,10
5093,C005093,3/1/2023,8/2/2025,True,Client 5093 (Pty) Ltd,REG0005093,08/02/2020,24,1-20,R5m-R20m,Small,Verified,RM070,28,3
5094,C005094,3/1/2023,8/2/2025,True,Client 5094 (Pty) Ltd,REG0005094,01/06/2020,19,1-20,R20m-R100m,Micro,Verified,RM026,20,5
5095,C005095,3/1/2023,8/2/2025,True,Client 5095 (Pty) Ltd,REG0005095,08/06/2016,1,51-100,R20m-R100m,Corporate,Rejected,RM080,27,1
5096,C005096,3/1/2023,8/2/2025,True,Client 5096 (Pty) Ltd,REG0005096,08/12/2018,26,21-50,< R5m,Micro,Verified,RM079,2,7
5097,C005097,3/1/2023,8/2/2025,True,Client 5097 (Pty) Ltd,REG0005097,08/24/2015,9,21-50,R20m-R100m,Small,Verified,RM094,49,1
5098,C005098,3/1/2023,8/2/2025,True,Client 5098 (Pty) Ltd,REG0005098,10/04/2020,21,1-20,< R5m,Small,Verified,RM092,25,3
5099,C005099,3/1/2023,8/2/2025,True,Client 5099 (Pty) Ltd,REG0005099,04/26/2020,17,1-20,R500m+,Micro,Verified,RM084,6,6
5100,C005100,3/1/2023,8/2/2025,True,Client 5100 (Pty) Ltd,REG0005100,12/26/2015,10,501-1000,< R5m,Enterprise,Verified,RM071,28,10
5101,C005101,3/1/2023,8/2/2025,True,Client 5101 (Pty) Ltd,REG0005101,04/14/2020,27,1-20,R5m-R20m,Corporate,Verified,RM031,39,1
5102,C005102,3/1/2023,8/2/2025,True,Client 5102 (Pty) Ltd,REG0005102,04/20/2015,6,21-50,< R5m,Micro,In Review,RM060,26,8
5103,C005103,3/1/2023,8/2/2025,True,Client 5103 (Pty) Ltd,REG0005103,07/11/2015,26,1-20,< R5m,Enterprise,Verified,RM099,3,3
5104,C005104,3/1/2023,8/2/2025,True,Client 5104 (Pty) Ltd,REG0005104,06/22/2017,3,1-20,R5m-R20m,Micro,Verified,RM051,32,7
5105,C005105,3/1/2023,8/2/2025,True,Client 5105 (Pty) Ltd,REG0005105,01/21/2018,27,501-1000,< R5m,Micro,Pending,RM020,43,5
5106,C005106,3/1/2023,8/2/2025,True,Client 5106 (Pty) Ltd,REG0005106,05/11/2017,20,1-20,R5m-R20m,Micro,Verified,RM038,41,5
5107,C005107,3/1/2023,8/2/2025,True,Client 5107 (Pty) Ltd,REG0005107,02/28/2022,24,51-100,< R5m,Micro,Verified,RM056,36,8
5108,C005108,3/1/2023,8/2/2025,True,Client 5108 (Pty) Ltd,REG0005108,12/19/2017,15,1-20,R5m-R20m,Micro,Verified,RM095,8,4
5109,C005109,3/1/2023,8/2/2025,True,Client 5109 (Pty) Ltd,REG0005109,10/11/2016,21,51-100,< R5m,Micro,Pending,RM097,27,3
5110,C005110,3/1/2023,8/2/2025,True,Client 5110 (Pty) Ltd,REG0005110,02/08/2015,28,251-500,R20m-R100m,Medium,In Review,RM051,10,9
5111,C005111,3/1/2023,8/2/2025,True,Client 5111 (Pty) Ltd,REG0005111,09/28/2016,22,1-20,R100m-R500m,Micro,Verified,RM039,25,6
5112,C005112,3/1/2023,8/2/2025,True,Client 5112 (Pty) Ltd,REG0005112,11/02/2017,26,1-20,R5m-R20m,Corporate,Verified,RM017,49,1
5113,C005113,3/1/2023,8/2/2025,True,Client 5113 (Pty) Ltd,REG0005113,02/05/2015,20,1-20,< R5m,Enterprise,Pending,RM025,6,9
5114,C005114,3/1/2023,8/2/2025,True,Client 5114 (Pty) Ltd,REG0005114,11/18/2020,6,21-50,R5m-R20m,Small,Verified,RM011,38,7
5115,C005115,3/1/2023,8/2/2025,True,Client 5115 (Pty) Ltd,REG0005115,09/23/2018,3,21-50,< R5m,Micro,Verified,RM085,5,7
5116,C005116,3/1/2023,8/2/2025,True,Client 5116 (Pty) Ltd,REG0005116,06/06/2020,10,501-1000,R20m-R100m,Small,Verified,RM057,28,3
5117,C005117,3/1/2023,8/2/2025,True,Client 5117 (Pty) Ltd,REG0005117,06/15/2015,12,1-20,< R5m,Medium,Verified,RM031,3,1
5118,C005118,3/1/2023,8/2/2025,True,Client 5118 (Pty) Ltd,REG0005118,08/27/2021,1,101-250,R20m-R100m,Corporate,Pending,RM048,34,1
5119,C005119,3/1/2023,8/2/2025,True,Client 5119 (Pty) Ltd,REG0005119,02/23/2020,22,1-20,< R5m,Small,Verified,RM069,27,1
5120,C005120,3/1/2023,8/2/2025,True,Client 5120 (Pty) Ltd,REG0005120,10/08/2022,30,1-20,< R5m,Micro,Verified,RM090,10,8
5121,C005121,3/1/2023,8/2/2025,True,Client 5121 (Pty) Ltd,REG0005121,01/31/2015,29,51-100,< R5m,Small,Verified,RM025,34,4
5122,C005122,3/1/2023,8/2/2025,True,Client 5122 (Pty) Ltd,REG0005122,01/11/2015,16,251-500,R5m-R20m,Small,Verified,RM076,36,4
5123,C005123,3/1/2023,8/2/2025,True,Client 5123 (Pty) Ltd,REG0005123,07/04/2020,17,1-20,< R5m,Micro,In Review,RM023,48,7
5124,C005124,3/1/2023,8/2/2025,True,Client 5124 (Pty) Ltd,REG0005124,11/13/2020,10,1-20,< R5m,Small,Rejected,RM052,9,4
5125,C005125,3/1/2023,8/2/2025,True,Client 5125 (Pty) Ltd,REG0005125,11/05/2021,12,51-100,< R5m,Small,Verified,RM026,10,8
5126,C005126,3/1/2023,8/2/2025,True,Client 5126 (Pty) Ltd,REG0005126,02/17/2021,19,101-250,R100m-R500m,Small,Verified,RM074,4,1
5127,C005127,3/1/2023,8/2/2025,True,Client 5127 (Pty) Ltd,REG0005127,04/30/2016,28,251-500,< R5m,Small,Verified,RM034,45,9
5128,C005128,3/1/2023,8/2/2025,True,Client 5128 (Pty) Ltd,REG0005128,07/13/2018,8,1-20,R5m-R20m,Micro,Verified,RM011,39,9
5129,C005129,3/1/2023,8/2/2025,True,Client 5129 (Pty) Ltd,REG0005129,12/18/2018,23,51-100,R5m-R20m,Medium,Verified,RM023,27,3
5130,C005130,3/1/2023,8/2/2025,True,Client 5130 (Pty) Ltd,REG0005130,04/04/2021,8,1-20,R5m-R20m,Small,Verified,RM088,34,9
5131,C005131,3/1/2023,8/2/2025,True,Client 5131 (Pty) Ltd,REG0005131,04/27/2020,10,21-50,< R5m,Micro,Verified,RM081,32,10
5132,C005132,3/1/2023,8/2/2025,True,Client 5132 (Pty) Ltd,REG0005132,05/17/2020,10,1-20,< R5m,Micro,Verified,RM029,35,10
5133,C005133,3/1/2023,8/2/2025,True,Client 5133 (Pty) Ltd,REG0005133,01/26/2020,18,1-20,R20m-R100m,Micro,Verified,RM077,42,3
5134,C005134,3/1/2023,8/2/2025,True,Client 5134 (Pty) Ltd,REG0005134,01/09/2019,10,501-1000,< R5m,Medium,Pending,RM064,27,4
5135,C005135,3/1/2023,8/2/2025,True,Client 5135 (Pty) Ltd,REG0005135,09/28/2018,7,21-50,< R5m,Micro,Verified,RM041,32,8
5136,C005136,3/1/2023,8/2/2025,True,Client 5136 (Pty) Ltd,REG0005136,08/14/2022,30,1-20,< R5m,Medium,In Review,RM091,17,9
5137,C005137,3/1/2023,8/2/2025,True,Client 5137 (Pty) Ltd,REG0005137,09/17/2017,4,101-250,< R5m,Medium,Verified,RM071,31,3
5138,C005138,3/1/2023,8/2/2025,True,Client 5138 (Pty) Ltd,REG0005138,04/04/2017,1,51-100,R5m-R20m,Micro,Verified,RM063,11,1
5139,C005139,3/1/2023,8/2/2025,True,Client 5139 (Pty) Ltd,REG0005139,01/02/2019,11,1-20,< R5m,Micro,Verified,RM092,12,7
5140,C005140,3/1/2023,8/2/2025,True,Client 5140 (Pty) Ltd,REG0005140,11/23/2020,19,21-50,R100m-R500m,Enterprise,Verified,RM053,33,6
5141,C005141,3/1/2023,8/2/2025,True,Client 5141 (Pty) Ltd,REG0005141,02/06/2021,5,21-50,R500m+,Micro,Verified,RM006,5,3
5142,C005142,3/1/2023,8/2/2025,True,Client 5142 (Pty) Ltd,REG0005142,02/09/2021,30,1-20,< R5m,Corporate,Pending,RM053,46,2
5143,C005143,3/1/2023,8/2/2025,True,Client 5143 (Pty) Ltd,REG0005143,08/14/2015,26,1000+,R5m-R20m,Micro,In Review,RM031,10,2
5144,C005144,3/1/2023,8/2/2025,True,Client 5144 (Pty) Ltd,REG0005144,02/15/2017,8,21-50,< R5m,Small,Verified,RM041,43,10
5145,C005145,3/1/2023,8/2/2025,True,Client 5145 (Pty) Ltd,REG0005145,10/08/2022,2,251-500,R5m-R20m,Corporate,Verified,RM031,44,4
5146,C005146,3/1/2023,8/2/2025,True,Client 5146 (Pty) Ltd,REG0005146,01/17/2018,2,21-50,< R5m,Small,Verified,RM059,20,9
5147,C005147,3/1/2023,8/2/2025,True,Client 5147 (Pty) Ltd,REG0005147,11/18/2016,24,51-100,< R5m,Micro,Verified,RM058,49,5
5148,C005148,3/1/2023,8/2/2025,True,Client 5148 (Pty) Ltd,REG0005148,06/13/2016,14,1-20,< R5m,Micro,Verified,RM011,24,3
5149,C005149,3/1/2023,8/2/2025,True,Client 5149 (Pty) Ltd,REG0005149,08/29/2017,9,21-50,< R5m,Micro,Pending,RM072,6,5
5150,C005150,3/1/2023,8/2/2025,True,Client 5150 (Pty) Ltd,REG0005150,07/24/2017,10,51-100,< R5m,Micro,Verified,RM013,12,8
5151,C005151,3/1/2023,8/2/2025,True,Client 5151 (Pty) Ltd,REG0005151,11/23/2018,13,1-20,< R5m,Small,In Review,RM071,25,7
5152,C005152,3/1/2023,8/2/2025,True,Client 5152 (Pty) Ltd,REG0005152,11/23/2020,29,51-100,R20m-R100m,Medium,Verified,RM053,25,10
5153,C005153,3/1/2023,8/2/2025,True,Client 5153 (Pty) Ltd,REG0005153,07/18/2018,1,1-20,R5m-R20m,Small,Verified,RM096,26,4
5154,C005154,3/1/2023,8/2/2025,True,Client 5154 (Pty) Ltd,REG0005154,06/21/2020,14,101-250,R5m-R20m,Corporate,Verified,RM056,40,9
5155,C005155,3/1/2023,8/2/2025,True,Client 5155 (Pty) Ltd,REG0005155,11/18/2022,2,501-1000,< R5m,Small,Verified,RM035,7,4
5156,C005156,3/1/2023,8/2/2025,True,Client 5156 (Pty) Ltd,REG0005156,03/07/2019,4,51-100,< R5m,Small,Verified,RM076,3,9
5157,C005157,3/1/2023,8/2/2025,True,Client 5157 (Pty) Ltd,REG0005157,11/09/2016,28,1-20,< R5m,Micro,Pending,RM026,20,10
5158,C005158,3/1/2023,8/2/2025,True,Client 5158 (Pty) Ltd,REG0005158,12/06/2022,19,21-50,R100m-R500m,Medium,Pending,RM081,6,2
5159,C005159,3/1/2023,8/2/2025,True,Client 5159 (Pty) Ltd,REG0005159,09/06/2021,1,51-100,< R5m,Micro,Verified,RM018,19,4
5160,C005160,3/1/2023,8/2/2025,True,Client 5160 (Pty) Ltd,REG0005160,02/09/2015,4,501-1000,R100m-R500m,Micro,Verified,RM046,39,10
5161,C005161,3/1/2023,8/2/2025,True,Client 5161 (Pty) Ltd,REG0005161,05/31/2022,11,1-20,R5m-R20m,Micro,Verified,RM034,21,9
5162,C005162,3/1/2023,8/2/2025,True,Client 5162 (Pty) Ltd,REG0005162,01/10/2018,13,101-250,R5m-R20m,Micro,Verified,RM018,48,5
5163,C005163,3/1/2023,8/2/2025,True,Client 5163 (Pty) Ltd,REG0005163,04/24/2017,27,1-20,< R5m,Small,Verified,RM037,47,7
5164,C005164,3/1/2023,8/2/2025,True,Client 5164 (Pty) Ltd,REG0005164,10/10/2019,18,101-250,< R5m,Micro,Pending,RM098,49,5
5165,C005165,3/1/2023,8/2/2025,True,Client 5165 (Pty) Ltd,REG0005165,02/26/2021,10,251-500,R5m-R20m,Micro,Verified,RM069,43,5
5166,C005166,3/1/2023,8/2/2025,True,Client 5166 (Pty) Ltd,REG0005166,03/22/2016,5,251-500,R500m+,Medium,Verified,RM025,1,9
5167,C005167,3/1/2023,8/2/2025,True,Client 5167 (Pty) Ltd,REG0005167,05/19/2018,1,51-100,R20m-R100m,Micro,Verified,RM091,13,4
5168,C005168,3/1/2023,8/2/2025,True,Client 5168 (Pty) Ltd,REG0005168,10/27/2021,14,21-50,< R5m,Small,Verified,RM100,31,6
5169,C005169,3/1/2023,8/2/2025,True,Client 5169 (Pty) Ltd,REG0005169,09/12/2018,16,251-500,< R5m,Corporate,Verified,RM083,34,9
5170,C005170,3/1/2023,8/2/2025,True,Client 5170 (Pty) Ltd,REG0005170,09/09/2022,24,21-50,< R5m,Micro,Verified,RM045,8,8
5171,C005171,3/1/2023,8/2/2025,True,Client 5171 (Pty) Ltd,REG0005171,08/15/2015,26,1-20,< R5m,Corporate,Verified,RM098,37,4
5172,C005172,3/1/2023,8/2/2025,True,Client 5172 (Pty) Ltd,REG0005172,02/17/2015,18,501-1000,R20m-R100m,Small,Verified,RM047,42,4
5173,C005173,3/1/2023,8/2/2025,True,Client 5173 (Pty) Ltd,REG0005173,02/07/2023,27,21-50,R5m-R20m,Medium,Pending,RM054,10,9
5174,C005174,3/1/2023,8/2/2025,True,Client 5174 (Pty) Ltd,REG0005174,01/02/2019,3,51-100,R5m-R20m,Corporate,Verified,RM085,41,1
5175,C005175,3/1/2023,8/2/2025,True,Client 5175 (Pty) Ltd,REG0005175,01/05/2020,3,1-20,< R5m,Medium,In Review,RM057,21,7
5176,C005176,3/1/2023,8/2/2025,True,Client 5176 (Pty) Ltd,REG0005176,07/06/2015,4,1-20,< R5m,Micro,Verified,RM053,24,7
5177,C005177,3/1/2023,8/2/2025,True,Client 5177 (Pty) Ltd,REG0005177,07/20/2021,7,21-50,R5m-R20m,Micro,Verified,RM022,14,9
5178,C005178,3/1/2023,8/2/2025,True,Client 5178 (Pty) Ltd,REG0005178,03/21/2021,13,21-50,< R5m,Micro,Verified,RM082,45,3
5179,C005179,3/1/2023,8/2/2025,True,Client 5179 (Pty) Ltd,REG0005179,11/17/2022,9,21-50,< R5m,Micro,In Review,RM009,43,5
5180,C005180,3/1/2023,8/2/2025,True,Client 5180 (Pty) Ltd,REG0005180,12/10/2021,3,1-20,< R5m,Medium,Verified,RM032,17,1
